noise_strength,eve_rate,qber_mean
0.0000,0.0000,0.000000
0.0000,0.0500,0.011925
0.0000,0.1000,0.030587
0.0000,0.1500,0.040420
0.0000,0.2000,0.051115
0.0000,0.2500,0.056164
0.0000,0.3000,0.072835
0.0000,0.3500,0.086586
0.0000,0.4000,0.103462
0.0000,0.4500,0.114865
0.0000,0.5000,0.124643
0.0000,0.5500,0.140806
0.0000,0.6000,0.155331
0.0000,0.6500,0.171702
0.0000,0.7000,0.168494
0.0000,0.7500,0.189789
0.0000,0.8000,0.207251
0.0000,0.8500,0.226580
0.0000,0.9000,0.226903
0.0000,0.9500,0.222327
0.0000,1.0000,0.249086
0.0200,0.0000,0.008912
0.0200,0.0500,0.024670
0.0200,0.1000,0.032985
0.0200,0.1500,0.044304
0.0200,0.2000,0.063185
0.0200,0.2500,0.071101
0.0200,0.3000,0.091572
0.0200,0.3500,0.094270
0.0200,0.4000,0.103753
0.0200,0.4500,0.114426
0.0200,0.5000,0.126092
0.0200,0.5500,0.139312
0.0200,0.6000,0.162686
0.0200,0.6500,0.157553
0.0200,0.7000,0.181405
0.0200,0.7500,0.196846
0.0200,0.8000,0.209596
0.0200,0.8500,0.222601
0.0200,0.9000,0.234874
0.0200,0.9500,0.246426
0.0200,1.0000,0.244610
0.0400,0.0000,0.022105
0.0400,0.0500,0.033720
0.0400,0.1000,0.050681
0.0400,0.1500,0.051570
0.0400,0.2000,0.063886
0.0400,0.2500,0.088341
0.0400,0.3000,0.095331
0.0400,0.3500,0.116304
0.0400,0.4000,0.116918
0.0400,0.4500,0.125235
0.0400,0.5000,0.146331
0.0400,0.5500,0.148819
0.0400,0.6000,0.168450
0.0400,0.6500,0.179092
0.0400,0.7000,0.192998
0.0400,0.7500,0.208565
0.0400,0.8000,0.210825
0.0400,0.8500,0.226115
0.0400,0.9000,0.223691
0.0400,0.9500,0.241688
0.0400,1.0000,0.264352
0.0600,0.0000,0.029367
0.0600,0.0500,0.040439
0.0600,0.1000,0.046540
0.0600,0.1500,0.060697
0.0600,0.2000,0.083063
0.0600,0.2500,0.092084
0.0600,0.3000,0.103037
0.0600,0.3500,0.108356
0.0600,0.4000,0.120658
0.0600,0.4500,0.134444
0.0600,0.5000,0.137361
0.0600,0.5500,0.163019
0.0600,0.6000,0.163729
0.0600,0.6500,0.186495
0.0600,0.7000,0.201484
0.0600,0.7500,0.210433
0.0600,0.8000,0.210907
0.0600,0.8500,0.225933
0.0600,0.9000,0.245439
0.0600,0.9500,0.244160
0.0600,1.0000,0.258961
0.0800,0.0000,0.042545
0.0800,0.0500,0.050071
0.0800,0.1000,0.068128
0.0800,0.1500,0.079277
0.0800,0.2000,0.088435
0.0800,0.2500,0.094599
0.0800,0.3000,0.102481
0.0800,0.3500,0.119439
0.0800,0.4000,0.138639
0.0800,0.4500,0.143980
0.0800,0.5000,0.161741
0.0800,0.5500,0.181567
0.0800,0.6000,0.180472
0.0800,0.6500,0.198200
0.0800,0.7000,0.200488
0.0800,0.7500,0.216242
0.0800,0.8000,0.219167
0.0800,0.8500,0.228346
0.0800,0.9000,0.242899
0.0800,0.9500,0.256618
0.0800,1.0000,0.268265
0.1000,0.0000,0.051991
0.1000,0.0500,0.057472
0.1000,0.1000,0.065733
0.1000,0.1500,0.085452
0.1000,0.2000,0.096172
0.1000,0.2500,0.108394
0.1000,0.3000,0.115251
0.1000,0.3500,0.125893
0.1000,0.4000,0.142132
0.1000,0.4500,0.147642
0.1000,0.5000,0.172403
0.1000,0.5500,0.178438
0.1000,0.6000,0.189153
0.1000,0.6500,0.194995
0.1000,0.7000,0.215131
0.1000,0.7500,0.214843
0.1000,0.8000,0.226734
0.1000,0.8500,0.252181
0.1000,0.9000,0.253876
0.1000,0.9500,0.266588
0.1000,1.0000,0.278813
0.1200,0.0000,0.056765
0.1200,0.0500,0.069056
0.1200,0.1000,0.077262
0.1200,0.1500,0.096700
0.1200,0.2000,0.103655
0.1200,0.2500,0.118248
0.1200,0.3000,0.129981
0.1200,0.3500,0.143554
0.1200,0.4000,0.155505
0.1200,0.4500,0.161106
0.1200,0.5000,0.166175
0.1200,0.5500,0.177766
0.1200,0.6000,0.194692
0.1200,0.6500,0.204380
0.1200,0.7000,0.204899
0.1200,0.7500,0.221078
0.1200,0.8000,0.234390
0.1200,0.8500,0.247547
0.1200,0.9000,0.257351
0.1200,0.9500,0.265499
0.1200,1.0000,0.287702
0.1400,0.0000,0.068801
0.1400,0.0500,0.079480
0.1400,0.1000,0.094975
0.1400,0.1500,0.100139
0.1400,0.2000,0.118214
0.1400,0.2500,0.128640
0.1400,0.3000,0.142464
0.1400,0.3500,0.136615
0.1400,0.4000,0.160838
0.1400,0.4500,0.162593
0.1400,0.5000,0.173178
0.1400,0.5500,0.181706
0.1400,0.6000,0.208581
0.1400,0.6500,0.214419
0.1400,0.7000,0.225066
0.1400,0.7500,0.228792
0.1400,0.8000,0.240738
0.1400,0.8500,0.247609
0.1400,0.9000,0.259229
0.1400,0.9500,0.272878
0.1400,1.0000,0.294180
0.1600,0.0000,0.081781
0.1600,0.0500,0.094843
0.1600,0.1000,0.100938
0.1600,0.1500,0.110534
0.1600,0.2000,0.114246
