noise_strength,eve_rate,qber_mean
0.0000,0.0000,0.000000
0.0000,0.0150,0.003593
0.0000,0.0300,0.008992
0.0000,0.0450,0.012130
0.0000,0.0600,0.016327
0.0000,0.0750,0.021010
0.0000,0.0900,0.025473
0.0000,0.1050,0.027559
0.0000,0.1200,0.026837
0.0000,0.1350,0.034752
0.0000,0.1500,0.035230
0.0000,0.1650,0.042570
0.0000,0.1800,0.046847
0.0000,0.1950,0.044814
0.0000,0.2100,0.051773
0.0000,0.2250,0.059696
0.0000,0.2400,0.062248
0.0000,0.2550,0.061622
0.0000,0.2700,0.067605
0.0000,0.2850,0.071924
0.0000,0.3000,0.075900
0.0000,0.3150,0.077957
0.0000,0.3300,0.078727
0.0000,0.3450,0.084220
0.0000,0.3600,0.098520
0.0000,0.3750,0.101370
0.0000,0.3900,0.102072
0.0000,0.4050,0.093020
0.0000,0.4200,0.104789
0.0000,0.4350,0.100985
0.0000,0.4500,0.112370
0.0000,0.4650,0.118600
0.0000,0.4800,0.119808
0.0000,0.4950,0.121765
0.0000,0.5100,0.120831
0.0000,0.5250,0.132017
0.0000,0.5400,0.124076
0.0000,0.5550,0.136374
0.0000,0.5700,0.152550
0.0000,0.5850,0.149948
0.0000,0.6000,0.152331
0.0047,0.0000,0.002417
0.0047,0.0150,0.005958
0.0047,0.0300,0.009819
0.0047,0.0450,0.013489
0.0047,0.0600,0.016666
0.0047,0.0750,0.021579
0.0047,0.0900,0.024170
0.0047,0.1050,0.024757
0.0047,0.1200,0.027471
0.0047,0.1350,0.041772
0.0047,0.1500,0.036642
0.0047,0.1650,0.044255
0.0047,0.1800,0.044725
0.0047,0.1950,0.055115
0.0047,0.2100,0.058178
0.0047,0.2250,0.052559
0.0047,0.2400,0.062956
0.0047,0.2550,0.065169
0.0047,0.2700,0.069131
0.0047,0.2850,0.071473
0.0047,0.3000,0.075514
0.0047,0.3150,0.075738
0.0047,0.3300,0.083175
0.0047,0.3450,0.082850
0.0047,0.3600,0.092402
0.0047,0.3750,0.102821
0.0047,0.3900,0.098644
0.0047,0.4050,0.104187
0.0047,0.4200,0.107503
0.0047,0.4350,0.103197
0.0047,0.4500,0.109149
0.0047,0.4650,0.123501
0.0047,0.4800,0.127309
0.0047,0.4950,0.124551
0.0047,0.5100,0.123947
0.0047,0.5250,0.132148
0.0047,0.5400,0.139054
0.0047,0.5550,0.132922
0.0047,0.5700,0.144043
0.0047,0.5850,0.139185
0.0047,0.6000,0.155030
0.0093,0.0000,0.004923
0.0093,0.0150,0.009472
0.0093,0.0300,0.011175
0.0093,0.0450,0.015467
0.0093,0.0600,0.017471
0.0093,0.0750,0.022176
0.0093,0.0900,0.028150
0.0093,0.1050,0.026727
0.0093,0.1200,0.036312
0.0093,0.1350,0.037802
0.0093,0.1500,0.040900
0.0093,0.1650,0.046873
0.0093,0.1800,0.045294
0.0093,0.1950,0.058075
0.0093,0.2100,0.059620
0.0093,0.2250,0.055737
0.0093,0.2400,0.060521
0.0093,0.2550,0.059878
0.0093,0.2700,0.071113
0.0093,0.2850,0.078026
0.0093,0.3000,0.074443
0.0093,0.3150,0.084599
0.0093,0.3300,0.090730
0.0093,0.3450,0.096295
0.0093,0.3600,0.095178
0.0093,0.3750,0.096524
0.0093,0.3900,0.095541
0.0093,0.4050,0.106446
0.0093,0.4200,0.101043
0.0093,0.4350,0.114271
0.0093,0.4500,0.118955
0.0093,0.4650,0.119053
0.0093,0.4800,0.118184
0.0093,0.4950,0.128594
0.0093,0.5100,0.137732
0.0093,0.5250,0.134421
0.0093,0.5400,0.144646
0.0093,0.5550,0.139781
0.0093,0.5700,0.154134
0.0093,0.5850,0.145611
0.0093,0.6000,0.148640
0.0140,0.0000,0.006748
0.0140,0.0150,0.011038
0.0140,0.0300,0.014945
0.0140,0.0450,0.020876
0.0140,0.0600,0.023387
0.0140,0.0750,0.029576
0.0140,0.0900,0.031524
0.0140,0.1050,0.037268
0.0140,0.1200,0.035021
0.0140,0.1350,0.035221
0.0140,0.1500,0.046266
0.0140,0.1650,0.045925
0.0140,0.1800,0.053874
0.0140,0.1950,0.058409
0.0140,0.2100,0.059411
0.0140,0.2250,0.063228
0.0140,0.2400,0.070722
0.0140,0.2550,0.071876
0.0140,0.2700,0.073354
0.0140,0.2850,0.079758
0.0140,0.3000,0.076663
0.0140,0.3150,0.083000
0.0140,0.3300,0.092761
0.0140,0.3450,0.084507
0.0140,0.3600,0.097581
0.0140,0.3750,0.097041
0.0140,0.3900,0.106075
0.0140,0.4050,0.110799
0.0140,0.4200,0.110982
0.0140,0.4350,0.128838
0.0140,0.4500,0.117679
0.0140,0.4650,0.113494
0.0140,0.4800,0.125416
0.0140,0.4950,0.124727
0.0140,0.5100,0.135346
0.0140,0.5250,0.142521
0.0140,0.5400,0.145379
0.0140,0.5550,0.145565
0.0140,0.5700,0.144594
0.0140,0.5850,0.151099
0.0140,0.6000,0.153939
0.0187,0.0000,0.009578
0.0187,0.0150,0.011501
0.0187,0.0300,0.018663
0.0187,0.0450,0.021484
0.0187,0.0600,0.025862
0.0187,0.0750,0.028232
0.0187,0.0900,0.030354
0.0187,0.1050,0.032479
0.0187,0.1200,0.044710
0.0187,0.1350,0.044992
0.0187,0.1500,0.041835
0.0187,0.1650,0.049742
0.0187,0.1800,0.046529
0.0187,0.1950,0.058893
0.0187,0.2100,0.060029
0.0187,0.2250,0.061651
0.0187,0.2400,0.072754
0.0187,0.2550,0.073399
0.0187,0.2700,0.073869
0.0187,0.2850,0.075132
0.0187,0.3000,0.080371
0.0187,0.3150,0.090375
0.0187,0.3300,0.092800
0.0187,0.3450,0.095609
0.0187,0.3600,0.093379
0.0187,0.3750,0.104251
0.0187,0.3900,0.102039
0.0187,0.4050,0.100726
0.0187,0.4200,0.113217
0.0187,0.4350,0.114504
0.0187,0.4500,0.117597
0.0187,0.4650,0.129367
0.0187,0.4800,0.121334
0.0187,0.4950,0.133242
0.0187,0.5100,0.138993
0.0187,0.5250,0.130124
0.0187,0.5400,0.130326
0.0187,0.5550,0.142737
0.0187,0.5700,0.143349
0.0187,0.5850,0.155400
0.0187,0.6000,0.144476
0.0233,0.0000,0.012118
0.0233,0.0150,0.013246
0.0233,0.0300,0.018842
0.0233,0.0450,0.023850
0.0233,0.0600,0.029397
0.0233,0.0750,0.027260
0.0233,0.0900,0.030924
0.0233,0.1050,0.040040
0.0233,0.1200,0.039588
0.0233,0.1350,0.046813
0.0233,0.1500,0.042919
0.0233,0.1650,0.053046
0.0233,0.1800,0.055678
0.0233,0.1950,0.057892
0.0233,0.2100,0.056383
0.0233,0.2250,0.074819
0.0233,0.2400,0.072873
0.0233,0.2550,0.070335
0.0233,0.2700,0.073473
0.0233,0.2850,0.082134
0.0233,0.3000,0.083235
0.0233,0.3150,0.085704
0.0233,0.3300,0.092485
0.0233,0.3450,0.093303
0.0233,0.3600,0.098820
0.0233,0.3750,0.099398
0.0233,0.3900,0.106183
0.0233,0.4050,0.104108
0.0233,0.4200,0.113424
0.0233,0.4350,0.126361
0.0233,0.4500,0.122784
0.0233,0.4650,0.128363
0.0233,0.4800,0.125704
0.0233,0.4950,0.130355
0.0233,0.5100,0.135032
0.0233,0.5250,0.137123
0.0233,0.5400,0.150277
0.0233,0.5550,0.150032
0.0233,0.5700,0.145310
0.0233,0.5850,0.163724
0.0233,0.6000,0.170135
0.0280,0.0000,0.016293
0.0280,0.0150,0.018167
0.0280,0.0300,0.018715
0.0280,0.0450,0.024748
0.0280,0.0600,0.026660
0.0280,0.0750,0.030375
0.0280,0.0900,0.038398
0.0280,0.1050,0.039814
0.0280,0.1200,0.039127
0.0280,0.1350,0.047140
0.0280,0.1500,0.058845
0.0280,0.1650,0.058310
0.0280,0.1800,0.056111
0.0280,0.1950,0.064132
0.0280,0.2100,0.065205
0.0280,0.2250,0.065980
0.0280,0.2400,0.070609
0.0280,0.2550,0.070945
0.0280,0.2700,0.080627
0.0280,0.2850,0.082505
0.0280,0.3000,0.090245
0.0280,0.3150,0.090928
0.0280,0.3300,0.090185
0.0280,0.3450,0.096939
0.0280,0.3600,0.101693
0.0280,0.3750,0.101918
0.0280,0.3900,0.104695
0.0280,0.4050,0.116854
0.0280,0.4200,0.114391
0.0280,0.4350,0.129562
0.0280,0.4500,0.122038
0.0280,0.4650,0.129797
0.0280,0.4800,0.133414
0.0280,0.4950,0.132344
0.0280,0.5100,0.126815
0.0280,0.5250,0.144497
0.0280,0.5400,0.140736
0.0280,0.5550,0.145032
0.0280,0.5700,0.148363
0.0280,0.5850,0.145296
0.0280,0.6000,0.166633
0.0327,0.0000,0.016684
0.0327,0.0150,0.021573
0.0327,0.0300,0.021337
0.0327,0.0450,0.024998
0.0327,0.0600,0.024829
0.0327,0.0750,0.035394
0.0327,0.0900,0.039867
0.0327,0.1050,0.045223
0.0327,0.1200,0.048186
0.0327,0.1350,0.046405
0.0327,0.1500,0.053372
0.0327,0.1650,0.054175
0.0327,0.1800,0.056548
0.0327,0.1950,0.069119
0.0327,0.2100,0.071712
0.0327,0.2250,0.068252
0.0327,0.2400,0.073778
0.0327,0.2550,0.077867
0.0327,0.2700,0.086845
0.0327,0.2850,0.082773
0.0327,0.3000,0.086595
0.0327,0.3150,0.091952
0.0327,0.3300,0.094282
0.0327,0.3450,0.095070
0.0327,0.3600,0.104233
0.0327,0.3750,0.107318
0.0327,0.3900,0.110791
0.0327,0.4050,0.110188
0.0327,0.4200,0.115723
0.0327,0.4350,0.123651
0.0327,0.4500,0.128262
0.0327,0.4650,0.123800
0.0327,0.4800,0.130176
0.0327,0.4950,0.136646
0.0327,0.5100,0.133553
0.0327,0.5250,0.140677
0.0327,0.5400,0.136077
0.0327,0.5550,0.147487
0.0327,0.5700,0.159649
0.0327,0.5850,0.155009
0.0327,0.6000,0.168727
0.0373,0.0000,0.017414
0.0373,0.0150,0.020958
0.0373,0.0300,0.026883
0.0373,0.0450,0.031052
0.0373,0.0600,0.034773
0.0373,0.0750,0.034209
0.0373,0.0900,0.040062
0.0373,0.1050,0.044772
0.0373,0.1200,0.046017
0.0373,0.1350,0.050076
0.0373,0.1500,0.060966
0.0373,0.1650,0.059815
0.0373,0.1800,0.067138
0.0373,0.1950,0.066149
0.0373,0.2100,0.066563
0.0373,0.2250,0.070959
0.0373,0.2400,0.077643
0.0373,0.2550,0.079935
0.0373,0.2700,0.081603
0.0373,0.2850,0.086212
0.0373,0.3000,0.083300
0.0373,0.3150,0.095237
0.0373,0.3300,0.096295
0.0373,0.3450,0.104130
0.0373,0.3600,0.108052
0.0373,0.3750,0.109245
0.0373,0.3900,0.117226
0.0373,0.4050,0.114953
0.0373,0.4200,0.117461
0.0373,0.4350,0.129389
0.0373,0.4500,0.129266
0.0373,0.4650,0.129727
0.0373,0.4800,0.137715
0.0373,0.4950,0.136666
0.0373,0.5100,0.138866
0.0373,0.5250,0.145174
0.0373,0.5400,0.144887
0.0373,0.5550,0.163729
0.0373,0.5700,0.159343
0.0373,0.5850,0.162372
0.0373,0.6000,0.158656
0.0420,0.0000,0.020539
0.0420,0.0150,0.023212
0.0420,0.0300,0.028317
0.0420,0.0450,0.031546
0.0420,0.0600,0.036620
0.0420,0.0750,0.039951
0.0420,0.0900,0.037620
0.0420,0.1050,0.052603
0.0420,0.1200,0.051844
0.0420,0.1350,0.052531
0.0420,0.1500,0.050653
0.0420,0.1650,0.064451
0.0420,0.1800,0.067306
0.0420,0.1950,0.064223
0.0420,0.2100,0.071473
0.0420,0.2250,0.077204
0.0420,0.2400,0.073695
0.0420,0.2550,0.079864
0.0420,0.2700,0.080919
0.0420,0.2850,0.096850
0.0420,0.3000,0.097774
0.0420,0.3150,0.097587
0.0420,0.3300,0.100413
0.0420,0.3450,0.108670
0.0420,0.3600,0.106325
0.0420,0.3750,0.114713
0.0420,0.3900,0.114339
0.0420,0.4050,0.114553
0.0420,0.4200,0.123872
0.0420,0.4350,0.117281
0.0420,0.4500,0.125895
0.0420,0.4650,0.135577
0.0420,0.4800,0.129221
0.0420,0.4950,0.140269
0.0420,0.5100,0.138668
0.0420,0.5250,0.152876
0.0420,0.5400,0.146875
0.0420,0.5550,0.154737
0.0420,0.5700,0.164617
0.0420,0.5850,0.168863
0.0420,0.6000,0.155015
0.0467,0.0000,0.025394
0.0467,0.0150,0.023602
0.0467,0.0300,0.027189
0.0467,0.0450,0.033475
0.0467,0.0600,0.039793
0.0467,0.0750,0.035903
0.0467,0.0900,0.040366
0.0467,0.1050,0.047225
0.0467,0.1200,0.050440
0.0467,0.1350,0.054594
0.0467,0.1500,0.055382
0.0467,0.1650,0.056198
0.0467,0.1800,0.068880
0.0467,0.1950,0.068515
0.0467,0.2100,0.073283
0.0467,0.2250,0.076165
0.0467,0.2400,0.086889
0.0467,0.2550,0.078815
0.0467,0.2700,0.082205
0.0467,0.2850,0.087080
0.0467,0.3000,0.088316
0.0467,0.3150,0.102173
0.0467,0.3300,0.100060
0.0467,0.3450,0.108472
0.0467,0.3600,0.113333
0.0467,0.3750,0.113003
0.0467,0.3900,0.119984
0.0467,0.4050,0.117942
0.0467,0.4200,0.120117
0.0467,0.4350,0.128738
0.0467,0.4500,0.136392
0.0467,0.4650,0.134732
0.0467,0.4800,0.140761
0.0467,0.4950,0.145492
0.0467,0.5100,0.142298
0.0467,0.5250,0.146823
0.0467,0.5400,0.154031
0.0467,0.5550,0.160429
0.0467,0.5700,0.166772
0.0467,0.5850,0.159805
0.0467,0.6000,0.172546
0.0513,0.0000,0.024513
0.0513,0.0150,0.031473
0.0513,0.0300,0.034514
0.0513,0.0450,0.035389
0.0513,0.0600,0.037546
0.0513,0.0750,0.042817
0.0513,0.0900,0.049348
0.0513,0.1050,0.044859
0.0513,0.1200,0.059497
0.0513,0.1350,0.057640
0.0513,0.1500,0.064601
0.0513,0.1650,0.066352
0.0513,0.1800,0.066723
0.0513,0.1950,0.067383
0.0513,0.2100,0.073502
0.0513,0.2250,0.078185
0.0513,0.2400,0.085708
0.0513,0.2550,0.092374
0.0513,0.2700,0.090761
0.0513,0.2850,0.089965
0.0513,0.3000,0.094401
0.0513,0.3150,0.100947
0.0513,0.3300,0.102503
0.0513,0.3450,0.103812
0.0513,0.3600,0.116701
0.0513,0.3750,0.115019
0.0513,0.3900,0.121563
0.0513,0.4050,0.119885
0.0513,0.4200,0.123677
0.0513,0.4350,0.119267
0.0513,0.4500,0.135013
0.0513,0.4650,0.126883
0.0513,0.4800,0.145746
0.0513,0.4950,0.152194
0.0513,0.5100,0.148706
0.0513,0.5250,0.148895
0.0513,0.5400,0.153558
0.0513,0.5550,0.160821
0.0513,0.5700,0.158459
0.0513,0.5850,0.159083
0.0513,0.6000,0.166490
0.0560,0.0000,0.027812
0.0560,0.0150,0.032619
0.0560,0.0300,0.041111
0.0560,0.0450,0.037145
0.0560,0.0600,0.040416
0.0560,0.0750,0.041252
0.0560,0.0900,0.052197
0.0560,0.1050,0.053926
0.0560,0.1200,0.057521
0.0560,0.1350,0.058106
0.0560,0.1500,0.065566
0.0560,0.1650,0.062669
0.0560,0.1800,0.069084
0.0560,0.1950,0.070507
0.0560,0.2100,0.076180
0.0560,0.2250,0.076534
0.0560,0.2400,0.091922
0.0560,0.2550,0.087905
0.0560,0.2700,0.098023
0.0560,0.2850,0.095900
0.0560,0.3000,0.094644
0.0560,0.3150,0.100993
0.0560,0.3300,0.100855
0.0560,0.3450,0.101474
0.0560,0.3600,0.115420
0.0560,0.3750,0.113224
0.0560,0.3900,0.119699
0.0560,0.4050,0.118736
0.0560,0.4200,0.130741
0.0560,0.4350,0.134286
0.0560,0.4500,0.133684
0.0560,0.4650,0.136432
0.0560,0.4800,0.134812
0.0560,0.4950,0.144343
0.0560,0.5100,0.141451
0.0560,0.5250,0.156357
0.0560,0.5400,0.157364
0.0560,0.5550,0.158005
0.0560,0.5700,0.168682
0.0560,0.5850,0.167887
0.0560,0.6000,0.174295
0.0607,0.0000,0.028748
0.0607,0.0150,0.033077
0.0607,0.0300,0.039912
0.0607,0.0450,0.044212
0.0607,0.0600,0.039202
0.0607,0.0750,0.050385
0.0607,0.0900,0.050564
0.0607,0.1050,0.056817
0.0607,0.1200,0.060433
0.0607,0.1350,0.056149
0.0607,0.1500,0.063700
0.0607,0.1650,0.069402
0.0607,0.1800,0.070407
0.0607,0.1950,0.072880
0.0607,0.2100,0.076684
0.0607,0.2250,0.080948
0.0607,0.2400,0.087576
0.0607,0.2550,0.094951
0.0607,0.2700,0.093898
0.0607,0.2850,0.099336
0.0607,0.3000,0.100881
0.0607,0.3150,0.103759
0.0607,0.3300,0.102023
0.0607,0.3450,0.107913
0.0607,0.3600,0.117426
0.0607,0.3750,0.121802
0.0607,0.3900,0.129750
0.0607,0.4050,0.124103
0.0607,0.4200,0.137067
0.0607,0.4350,0.131381
0.0607,0.4500,0.137672
0.0607,0.4650,0.132941
0.0607,0.4800,0.145986
0.0607,0.4950,0.150570
0.0607,0.5100,0.153543
0.0607,0.5250,0.154771
0.0607,0.5400,0.160647
0.0607,0.5550,0.149848
0.0607,0.5700,0.155465
0.0607,0.5850,0.170638
0.0607,0.6000,0.170799
0.0653,0.0000,0.031735
0.0653,0.0150,0.037677
