noise_strength,eve_rate,qber_mean
0.0000,0.0000,0.000000
0.0000,0.0500,0.022858
0.0000,0.1000,0.053145
0.0000,0.1500,0.073736
0.0000,0.2000,0.097111
0.0000,0.2500,0.122155
0.0000,0.3000,0.151872
0.0000,0.3500,0.186834
0.0000,0.4000,0.203496
0.0000,0.4500,0.227926
0.0000,0.5000,0.229343
0.0000,0.5500,0.283187
0.0000,0.6000,0.311749
0.0000,0.6500,0.314499
0.0000,0.7000,0.341969
0.0000,0.7500,0.374282
0.0000,0.8000,0.392747
0.0000,0.8500,0.416377
0.0000,0.9000,0.469949
0.0000,0.9500,0.473759
0.0000,1.0000,0.500218
0.0200,0.0000,0.022963
0.0200,0.0500,0.048555
0.0200,0.1000,0.064928
0.0200,0.1500,0.089751
0.0200,0.2000,0.114154
0.0200,0.2500,0.131077
0.0200,0.3000,0.162369
0.0200,0.3500,0.180712
0.0200,0.4000,0.223141
0.0200,0.4500,0.225276
0.0200,0.5000,0.266409
0.0200,0.5500,0.266574
0.0200,0.6000,0.296948
0.0200,0.6500,0.314717
0.0200,0.7000,0.366010
0.0200,0.7500,0.370739
0.0200,0.8000,0.404991
0.0200,0.8500,0.405363
0.0200,0.9000,0.464491
0.0200,0.9500,0.457449
0.0200,1.0000,0.491366
0.0400,0.0000,0.043184
0.0400,0.0500,0.070810
0.0400,0.1000,0.082083
0.0400,0.1500,0.104856
0.0400,0.2000,0.120592
0.0400,0.2500,0.147321
0.0400,0.3000,0.171826
0.0400,0.3500,0.175352
0.0400,0.4000,0.220814
0.0400,0.4500,0.237832
0.0400,0.5000,0.263208
0.0400,0.5500,0.293395
0.0400,0.6000,0.304932
0.0400,0.6500,0.294837
0.0400,0.7000,0.357750
0.0400,0.7500,0.364612
0.0400,0.8000,0.386127
0.0400,0.8500,0.422877
0.0400,0.9000,0.452618
0.0400,0.9500,0.490094
0.0400,1.0000,0.497985
0.0600,0.0000,0.062618
0.0600,0.0500,0.079192
0.0600,0.1000,0.105111
0.0600,0.1500,0.120964
0.0600,0.2000,0.148207
0.0600,0.2500,0.160041
0.0600,0.3000,0.194215
0.0600,0.3500,0.201626
0.0600,0.4000,0.229671
0.0600,0.4500,0.248538
0.0600,0.5000,0.276249
0.0600,0.5500,0.302161
0.0600,0.6000,0.336055
0.0600,0.6500,0.344160
0.0600,0.7000,0.367897
0.0600,0.7500,0.402696
0.0600,0.8000,0.407495
0.0600,0.8500,0.454895
