noise_strength,eve_rate,qber_mean
0.0000,0.0000,0.000000
0.0000,0.0075,0.003985
0.0000,0.0150,0.005951
0.0000,0.0225,0.011331
0.0000,0.0300,0.018786
0.0000,0.0375,0.017729
0.0000,0.0450,0.024834
0.0000,0.0525,0.029402
0.0000,0.0600,0.031307
0.0000,0.0675,0.034392
0.0000,0.0750,0.035526
0.0000,0.0825,0.036997
0.0000,0.0900,0.054926
0.0000,0.0975,0.047623
0.0000,0.1050,0.052209
0.0000,0.1125,0.063733
0.0000,0.1200,0.054424
0.0000,0.1275,0.062535
0.0000,0.1350,0.075700
0.0000,0.1425,0.065199
0.0000,0.1500,0.073960
0.0000,0.1575,0.071435
0.0000,0.1650,0.088388
0.0000,0.1725,0.086555
0.0000,0.1800,0.099589
0.0000,0.1875,0.099015
0.0000,0.1950,0.105395
0.0000,0.2025,0.101216
0.0000,0.2100,0.105064
0.0000,0.2175,0.102773
0.0000,0.2250,0.112911
0.0000,0.2325,0.107686
0.0000,0.2400,0.123021
0.0000,0.2475,0.124410
0.0000,0.2550,0.126638
0.0000,0.2625,0.130178
0.0000,0.2700,0.133729
0.0000,0.2775,0.140918
0.0000,0.2850,0.132183
0.0000,0.2925,0.148801
0.0000,0.3000,0.152586
0.0020,0.0000,0.002432
0.0020,0.0075,0.004936
0.0020,0.0150,0.011790
0.0020,0.0225,0.013494
0.0020,0.0300,0.018268
0.0020,0.0375,0.023804
0.0020,0.0450,0.023270
0.0020,0.0525,0.028216
0.0020,0.0600,0.031442
0.0020,0.0675,0.036567
0.0020,0.0750,0.037932
0.0020,0.0825,0.041269
0.0020,0.0900,0.044794
0.0020,0.0975,0.054899
0.0020,0.1050,0.052633
0.0020,0.1125,0.058219
0.0020,0.1200,0.056939
0.0020,0.1275,0.071810
0.0020,0.1350,0.061967
0.0020,0.1425,0.063444
0.0020,0.1500,0.081996
0.0020,0.1575,0.072983
0.0020,0.1650,0.086549
0.0020,0.1725,0.088338
0.0020,0.1800,0.088868
0.0020,0.1875,0.097542
0.0020,0.1950,0.085946
0.0020,0.2025,0.102022
0.0020,0.2100,0.104399
0.0020,0.2175,0.119089
0.0020,0.2250,0.115658
0.0020,0.2325,0.125364
0.0020,0.2400,0.123770
0.0020,0.2475,0.124825
0.0020,0.2550,0.121207
0.0020,0.2625,0.134117
0.0020,0.2700,0.137552
0.0020,0.2775,0.144340
0.0020,0.2850,0.141114
0.0020,0.2925,0.142307
0.0020,0.3000,0.158026
0.0040,0.0000,0.005391
0.0040,0.0075,0.008582
0.0040,0.0150,0.010272
0.0040,0.0225,0.014965
0.0040,0.0300,0.018149
0.0040,0.0375,0.024847
0.0040,0.0450,0.027937
0.0040,0.0525,0.036095
0.0040,0.0600,0.027697
0.0040,0.0675,0.033953
0.0040,0.0750,0.040261
0.0040,0.0825,0.047033
0.0040,0.0900,0.043565
0.0040,0.0975,0.040715
0.0040,0.1050,0.053083
0.0040,0.1125,0.059010
0.0040,0.1200,0.063261
0.0040,0.1275,0.071040
0.0040,0.1350,0.066312
0.0040,0.1425,0.074719
0.0040,0.1500,0.074872
0.0040,0.1575,0.072411
0.0040,0.1650,0.092833
0.0040,0.1725,0.081994
0.0040,0.1800,0.090682
0.0040,0.1875,0.091823
0.0040,0.1950,0.099092
0.0040,0.2025,0.100284
0.0040,0.2100,0.110340
0.0040,0.2175,0.118796
0.0040,0.2250,0.106044
0.0040,0.2325,0.121422
0.0040,0.2400,0.121379
0.0040,0.2475,0.125100
0.0040,0.2550,0.132917
0.0040,0.2625,0.125413
0.0040,0.2700,0.138005
0.0040,0.2775,0.141462
0.0040,0.2850,0.144856
0.0040,0.2925,0.165263
0.0040,0.3000,0.162669
0.0060,0.0000,0.007578
0.0060,0.0075,0.013521
0.0060,0.0150,0.008195
0.0060,0.0225,0.017364
0.0060,0.0300,0.020539
0.0060,0.0375,0.025504
0.0060,0.0450,0.030156
0.0060,0.0525,0.034356
0.0060,0.0600,0.034758
0.0060,0.0675,0.036166
0.0060,0.0750,0.041293
0.0060,0.0825,0.047053
0.0060,0.0900,0.048629
0.0060,0.0975,0.053573
0.0060,0.1050,0.056571
0.0060,0.1125,0.051844
0.0060,0.1200,0.063197
0.0060,0.1275,0.059536
0.0060,0.1350,0.067242
0.0060,0.1425,0.076822
0.0060,0.1500,0.085461
0.0060,0.1575,0.079081
0.0060,0.1650,0.088492
0.0060,0.1725,0.095894
0.0060,0.1800,0.094703
0.0060,0.1875,0.081054
0.0060,0.1950,0.101801
0.0060,0.2025,0.105235
0.0060,0.2100,0.114802
0.0060,0.2175,0.107740
0.0060,0.2250,0.113499
0.0060,0.2325,0.121427
0.0060,0.2400,0.125956
0.0060,0.2475,0.130002
0.0060,0.2550,0.135773
0.0060,0.2625,0.133741
0.0060,0.2700,0.134068
0.0060,0.2775,0.147013
0.0060,0.2850,0.148831
0.0060,0.2925,0.142492
0.0060,0.3000,0.143656
0.0080,0.0000,0.007304
0.0080,0.0075,0.009793
0.0080,0.0150,0.012254
0.0080,0.0225,0.019435
0.0080,0.0300,0.020915
0.0080,0.0375,0.027781
0.0080,0.0450,0.025498
0.0080,0.0525,0.037018
0.0080,0.0600,0.032775
0.0080,0.0675,0.045762
0.0080,0.0750,0.039838
0.0080,0.0825,0.046137
0.0080,0.0900,0.056755
0.0080,0.0975,0.054774
0.0080,0.1050,0.059519
0.0080,0.1125,0.058300
0.0080,0.1200,0.067420
0.0080,0.1275,0.069332
0.0080,0.1350,0.076968
0.0080,0.1425,0.071577
0.0080,0.1500,0.080753
0.0080,0.1575,0.077497
0.0080,0.1650,0.083011
0.0080,0.1725,0.096270
0.0080,0.1800,0.099390
0.0080,0.1875,0.092582
0.0080,0.1950,0.116383
0.0080,0.2025,0.104811
0.0080,0.2100,0.117758
0.0080,0.2175,0.114808
0.0080,0.2250,0.111446
0.0080,0.2325,0.118795
0.0080,0.2400,0.136529
0.0080,0.2475,0.132783
0.0080,0.2550,0.133927
0.0080,0.2625,0.146316
0.0080,0.2700,0.140301
0.0080,0.2775,0.144786
0.0080,0.2850,0.158277
0.0080,0.2925,0.154262
0.0080,0.3000,0.152109
0.0100,0.0000,0.011069
0.0100,0.0075,0.011127
0.0100,0.0150,0.020014
0.0100,0.0225,0.014910
0.0100,0.0300,0.026899
0.0100,0.0375,0.031301
0.0100,0.0450,0.029433
0.0100,0.0525,0.036677
0.0100,0.0600,0.031510
0.0100,0.0675,0.036324
0.0100,0.0750,0.045832
0.0100,0.0825,0.044112
0.0100,0.0900,0.055808
0.0100,0.0975,0.056938
0.0100,0.1050,0.053164
0.0100,0.1125,0.064743
0.0100,0.1200,0.065068
0.0100,0.1275,0.071668
0.0100,0.1350,0.075218
0.0100,0.1425,0.078193
0.0100,0.1500,0.078014
0.0100,0.1575,0.085333
0.0100,0.1650,0.096307
0.0100,0.1725,0.088856
0.0100,0.1800,0.102116
0.0100,0.1875,0.095575
0.0100,0.1950,0.107273
0.0100,0.2025,0.111530
0.0100,0.2100,0.119986
0.0100,0.2175,0.125523
0.0100,0.2250,0.127805
0.0100,0.2325,0.122839
0.0100,0.2400,0.116813
