noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0000,0.0000,0.000000,0.502000,0.000000,0.502000
0.0000,0.0107,0.002265,0.496095,0.010105,0.485991
0.0000,0.0214,0.005105,0.479250,0.021550,0.457701
0.0000,0.0321,0.008134,0.465684,0.031616,0.434067
0.0000,0.0429,0.009717,0.459158,0.037692,0.421465
0.0000,0.0536,0.012611,0.453184,0.047966,0.405218
0.0000,0.0643,0.015023,0.446637,0.055313,0.391325
0.0000,0.0750,0.019969,0.420655,0.067245,0.353409
0.0000,0.0857,0.020730,0.430662,0.071338,0.359324
0.0000,0.0964,0.024261,0.421885,0.081865,0.340020
0.0000,0.1071,0.026405,0.413389,0.086611,0.326779
0.0000,0.1179,0.027101,0.407173,0.086777,0.320395
0.0000,0.1286,0.029648,0.404528,0.095022,0.309506
0.0000,0.1393,0.030600,0.401720,0.096380,0.305339
0.0000,0.1500,0.036863,0.388406,0.112444,0.275962
0.0000,0.1607,0.044709,0.371499,0.130201,0.241298
0.0000,0.1714,0.042070,0.375740,0.124910,0.250830
0.0000,0.1821,0.047500,0.363575,0.136575,0.227001
0.0000,0.1929,0.050905,0.353441,0.142659,0.210782
0.0000,0.2036,0.051963,0.350523,0.144377,0.206146
0.0000,0.2143,0.054153,0.349891,0.150709,0.199182
0.0000,0.2250,0.054438,0.346425,0.149875,0.196550
0.0000,0.2357,0.057839,0.340471,0.157479,0.182992
0.0000,0.2464,0.065445,0.326834,0.172516,0.154319
0.0000,0.2571,0.066144,0.327852,0.175448,0.152404
0.0000,0.2679,0.067171,0.324593,0.177257,0.147336
0.0000,0.2786,0.069206,0.321775,0.180875,0.141633
0.0000,0.2893,0.075273,0.306605,0.190195,0.117363
0.0000,0.3000,0.075576,0.305381,0.190069,0.115817
0.0000,0.3107,0.075620,0.308232,0.191268,0.117448
0.0000,0.3214,0.080172,0.297764,0.198286,0.100677
0.0000,0.3321,0.081017,0.299155,0.201095,0.098265
0.0000,0.3429,0.085576,0.287760,0.208090,0.081229
0.0000,0.3536,0.087417,0.288223,0.213027,0.080992
0.0000,0.3643,0.090926,0.283566,0.220634,0.064608
0.0000,0.3750,0.091883,0.276034,0.217966,0.062294
0.0000,0.3857,0.098434,0.273421,0.234179,0.046187
0.0000,0.3964,0.103275,0.260451,0.235349,0.043731
0.0000,0.4071,0.103367,0.264395,0.239605,0.043180
0.0000,0.4179,0.099207,0.271191,0.234259,0.044740
0.0000,0.4286,0.110157,0.250801,0.248049,0.029825
0.0000,0.4393,0.111950,0.249614,0.250386,0.025992
0.0000,0.4500,0.109542,0.256272,0.251728,0.032410
0.0000,0.4607,0.111222,0.250857,0.250543,0.028873
0.0000,0.4714,0.117988,0.237804,0.258696,0.010132
0.0000,0.4821,0.123499,0.228742,0.264508,0.010180
0.0000,0.4929,0.114631,0.245143,0.254007,0.024319
0.0000,0.5036,0.126944,0.229081,0.274219,0.009681
0.0000,0.5143,0.131402,0.222488,0.280862,0.006242
0.0000,0.5250,0.126042,0.231719,0.273531,0.011980
0.0000,0.5357,0.131101,0.221115,0.277335,0.009137
0.0000,0.5464,0.132833,0.218545,0.280905,0.004815
0.0000,0.5571,0.140768,0.209077,0.293223,0.002747
0.0000,0.5679,0.141793,0.208150,0.294800,0.002172
0.0000,0.5786,0.145271,0.203716,0.299584,0.000537
0.0000,0.5893,0.149339,0.197057,0.303243,0.000000
0.0000,0.6000,0.150778,0.196468,0.306732,0.001248
0.0060,0.0000,0.003229,0.493655,0.014495,0.479161
0.0060,0.0107,0.006320,0.469432,0.026268,0.443164
0.0060,0.0214,0.008633,0.460575,0.033225,0.427350
0.0060,0.0321,0.010562,0.450604,0.039246,0.411357
0.0060,0.0429,0.013898,0.453779,0.052221,0.401559
0.0060,0.0536,0.014648,0.445398,0.053952,0.391445
0.0060,0.0643,0.018480,0.434992,0.064658,0.370335
0.0060,0.0750,0.024970,0.419221,0.083279,0.335943
0.0060,0.0857,0.024838,0.418511,0.082389,0.336122
0.0060,0.0964,0.027277,0.413505,0.089045,0.324460
0.0060,0.1071,0.027574,0.419203,0.091547,0.327655
0.0060,0.1179,0.031856,0.402766,0.101334,0.301432
0.0060,0.1286,0.033709,0.395157,0.105043,0.290113
0.0060,0.1393,0.037323,0.388815,0.114085,0.274729
0.0060,0.1500,0.041228,0.376859,0.122691,0.254168
0.0060,0.1607,0.044226,0.371906,0.128644,0.243262
0.0060,0.1714,0.046307,0.362969,0.133081,0.229889
0.0060,0.1821,0.045820,0.368756,0.134044,0.234712
0.0060,0.1929,0.049159,0.363695,0.140255,0.223440
0.0060,0.2036,0.051328,0.352787,0.144313,0.208473
0.0060,0.2143,0.056160,0.343405,0.154195,0.189209
0.0060,0.2250,0.063062,0.328191,0.166009,0.162182
0.0060,0.2357,0.061499,0.333345,0.164805,0.168539
0.0060,0.2464,0.063738,0.327705,0.168945,0.158760
0.0060,0.2571,0.069164,0.320599,0.179801,0.141048
0.0060,0.2679,0.069411,0.318100,0.179100,0.139546
0.0060,0.2786,0.076929,0.308307,0.196343,0.111963
0.0060,0.2893,0.077928,0.304595,0.195755,0.109316
0.0060,0.3000,0.080838,0.300350,0.202600,0.098974
0.0060,0.3107,0.081187,0.300020,0.202180,0.098139
0.0060,0.3214,0.087232,0.285960,0.210440,0.076698
0.0060,0.3321,0.079939,0.296408,0.196642,0.102189
0.0060,0.3429,0.088426,0.284243,0.212957,0.073197
0.0060,0.3536,0.093061,0.273761,0.217789,0.063505
0.0060,0.3643,0.095461,0.272999,0.224001,0.058699
0.0060,0.3750,0.100497,0.266898,0.234152,0.045598
0.0060,0.3857,0.101341,0.264132,0.234768,0.041078
0.0060,0.3964,0.098793,0.268880,0.232020,0.042745
0.0060,0.4071,0.104704,0.260026,0.240374,0.037244
0.0060,0.4179,0.105802,0.258657,0.243293,0.031602
0.0060,0.4286,0.110004,0.252586,0.248964,0.028530
0.0060,0.4393,0.111614,0.249069,0.250431,0.022612
0.0060,0.4500,0.115417,0.241643,0.254607,0.015791
0.0060,0.4607,0.118706,0.240559,0.264041,0.012897
0.0060,0.4714,0.122160,0.231381,0.264069,0.011993
0.0060,0.4821,0.127494,0.225187,0.272163,0.008868
0.0060,0.4929,0.127316,0.228847,0.276203,0.008765
0.0060,0.5036,0.129521,0.222512,0.276388,0.006060
0.0060,0.5143,0.131839,0.218730,0.277820,0.006790
0.0060,0.5250,0.130102,0.223375,0.276725,0.007699
0.0060,0.5357,0.134256,0.217137,0.283313,0.004221
0.0060,0.5464,0.137477,0.211082,0.286718,0.000944
0.0060,0.5571,0.137696,0.211691,0.285859,0.003112
0.0060,0.5679,0.148422,0.198529,0.301421,0.000000
0.0060,0.5786,0.142338,0.205238,0.293712,0.000126
0.0060,0.5893,0.151857,0.193427,0.304023,0.004343
0.0060,0.6000,0.155949,0.190821,0.313629,0.000424
0.0120,0.0000,0.004843,0.481844,0.020856,0.460989
0.0120,0.0107,0.009108,0.462657,0.035693,0.426964
0.0120,0.0214,0.012098,0.448759,0.044791,0.403968
0.0120,0.0321,0.015148,0.440549,0.053501,0.387048
0.0120,0.0429,0.015939,0.443167,0.057333,0.385834
0.0120,0.0536,0.017779,0.438077,0.062773,0.375304
0.0120,0.0643,0.022494,0.423722,0.075878,0.347844
0.0120,0.0750,0.023963,0.422615,0.080535,0.342080
0.0120,0.0857,0.027500,0.410176,0.088374,0.321802
0.0120,0.0964,0.033558,0.392452,0.104198,0.288255
0.0120,0.1071,0.035563,0.389283,0.108917,0.280366
