noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0000,0.0000,0.000000,0.247900,0.000000,0.247900
0.0000,0.0075,0.002373,0.239648,0.013590,0.226058
0.0000,0.0150,0.009062,0.227846,0.042261,0.185586
0.0000,0.0225,0.007296,0.232181,0.036139,0.196042
0.0000,0.0300,0.014774,0.225572,0.065178,0.160394
0.0000,0.0375,0.019490,0.217946,0.080940,0.137006
0.0000,0.0450,0.022844,0.215319,0.096678,0.118641
0.0000,0.0525,0.024401,0.208383,0.098545,0.109838
0.0000,0.0600,0.031884,0.196647,0.116549,0.084462
0.0000,0.0675,0.034108,0.199942,0.126609,0.074894
0.0000,0.0750,0.036349,0.201550,0.132524,0.071624
0.0000,0.0825,0.046822,0.182545,0.150307,0.046842
0.0000,0.0900,0.040172,0.191298,0.139472,0.059178
0.0000,0.0975,0.048170,0.184313,0.154817,0.042962
0.0000,0.1050,0.046414,0.181286,0.152731,0.033653
0.0000,0.1125,0.053590,0.174389,0.167208,0.021817
0.0000,0.1200,0.070841,0.157734,0.193960,0.003650
0.0000,0.1275,0.065813,0.158109,0.181627,0.009459
0.0000,0.1350,0.068198,0.158809,0.186479,0.011001
0.0000,0.1425,0.084688,0.146616,0.207403,0.002770
0.0000,0.1500,0.074172,0.157711,0.198782,0.009747
0.0000,0.1575,0.077174,0.155894,0.205501,0.004087
0.0000,0.1650,0.088017,0.142821,0.209555,0.001504
0.0000,0.1725,0.090733,0.140012,0.214781,0.002108
0.0000,0.1800,0.091573,0.142561,0.221204,0.001616
0.0000,0.1875,0.091738,0.139258,0.215807,0.000916
0.0000,0.1950,0.092385,0.137558,0.216086,0.001414
0.0000,0.2025,0.094265,0.134988,0.211525,0.002849
0.0000,0.2100,0.107620,0.130204,0.236057,0.000000
0.0000,0.2175,0.110026,0.127430,0.234264,0.000000
0.0000,0.2250,0.103153,0.132445,0.225521,0.001494
0.0000,0.2325,0.115808,0.119303,0.234094,0.000000
0.0000,0.2400,0.121065,0.118896,0.240549,0.000000
0.0000,0.2475,0.119683,0.119263,0.241288,0.000000
0.0000,0.2550,0.131402,0.111356,0.234853,0.000000
0.0000,0.2625,0.132104,0.108117,0.237489,0.000000
0.0000,0.2700,0.126331,0.113062,0.234874,0.000000
0.0000,0.2775,0.139713,0.105240,0.241174,0.000000
0.0000,0.2850,0.141505,0.105147,0.245475,0.000000
0.0000,0.2925,0.145099,0.099600,0.235713,0.000000
0.0000,0.3000,0.155632,0.095389,0.239314,0.000000
0.0050,0.0000,0.005321,0.237720,0.027832,0.209888
0.0050,0.0075,0.010332,0.231864,0.051061,0.180804
0.0050,0.0150,0.011363,0.234686,0.055945,0.178741
0.0050,0.0225,0.014429,0.225289,0.065491,0.159799
0.0050,0.0300,0.016340,0.220640,0.070336,0.150304
0.0050,0.0375,0.025860,0.212211,0.103007,0.109637
0.0050,0.0450,0.026130,0.211075,0.105986,0.107064
0.0050,0.0525,0.031569,0.199365,0.117696,0.081669
0.0050,0.0600,0.037467,0.189808,0.130903,0.061525
0.0050,0.0675,0.032296,0.198161,0.115950,0.083584
0.0050,0.0750,0.041330,0.187674,0.138614,0.055861
0.0050,0.0825,0.051136,0.179073,0.162488,0.035447
0.0050,0.0900,0.045195,0.180174,0.147100,0.040434
0.0050,0.0975,0.053044,0.176245,0.164281,0.029335
0.0050,0.1050,0.048993,0.188558,0.163523,0.035715
0.0050,0.1125,0.055299,0.175233,0.167067,0.030474
0.0050,0.1200,0.060292,0.169143,0.178724,0.016676
0.0050,0.1275,0.066716,0.162539,0.186746,0.015754
0.0050,0.1350,0.070217,0.163921,0.200564,0.004406
0.0050,0.1425,0.077793,0.151630,0.203893,0.003770
0.0050,0.1500,0.071127,0.159958,0.198948,0.003222
0.0050,0.1575,0.079813,0.152767,0.205447,0.005846
0.0050,0.1650,0.089398,0.139233,0.210630,0.000000
0.0050,0.1725,0.085178,0.149899,0.215091,0.005430
0.0050,0.1800,0.109273,0.128094,0.238339,0.000000
0.0050,0.1875,0.097704,0.136660,0.222723,0.002268
0.0050,0.1950,0.092869,0.139731,0.216312,0.004767
0.0050,0.2025,0.107646,0.130643,0.235926,0.000000
0.0050,0.2100,0.091778,0.141827,0.220475,0.000916
0.0050,0.2175,0.116096,0.122965,0.239014,0.000000
0.0050,0.2250,0.113463,0.126815,0.240416,0.000000
0.0050,0.2325,0.122573,0.121990,0.242157,0.000000
0.0050,0.2400,0.126399,0.116489,0.243102,0.000055
0.0050,0.2475,0.124504,0.119544,0.247352,0.000000
