noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0000,0.0000,0.000000,0.501900,0.000000,0.501900
0.0000,0.0150,0.004506,0.488180,0.019620,0.468559
0.0000,0.0300,0.007099,0.470086,0.028114,0.441971
0.0000,0.0450,0.012923,0.460569,0.049931,0.410637
0.0000,0.0600,0.014735,0.441857,0.053643,0.388214
0.0000,0.0750,0.018421,0.435500,0.065100,0.370399
0.0000,0.0900,0.024227,0.416631,0.080669,0.335962
0.0000,0.1050,0.025935,0.416574,0.085026,0.331547
0.0000,0.1200,0.030440,0.404351,0.097749,0.306603
0.0000,0.1350,0.035944,0.390347,0.110053,0.280294
0.0000,0.1500,0.037888,0.382233,0.114267,0.267967
0.0000,0.1650,0.040138,0.378973,0.120627,0.258345
0.0000,0.1800,0.044455,0.376168,0.131332,0.244836
0.0000,0.1950,0.051111,0.355695,0.144305,0.211389
0.0000,0.2100,0.058376,0.343041,0.160459,0.182582
0.0000,0.2250,0.056055,0.343060,0.153640,0.189420
0.0000,0.2400,0.062887,0.331849,0.168751,0.163098
0.0000,0.2550,0.061109,0.332517,0.164083,0.168433
0.0000,0.2700,0.070924,0.317715,0.184585,0.133130
0.0000,0.2850,0.073597,0.309245,0.187955,0.121290
0.0000,0.3000,0.076033,0.308637,0.193763,0.114875
0.0000,0.3150,0.073336,0.313429,0.187571,0.126272
0.0000,0.3300,0.082402,0.297915,0.205285,0.092630
0.0000,0.3450,0.083654,0.296546,0.207954,0.088965
0.0000,0.3600,0.084273,0.288901,0.204099,0.089028
0.0000,0.3750,0.094990,0.273084,0.223516,0.057736
0.0000,0.3900,0.096837,0.276373,0.232927,0.047706
0.0000,0.4050,0.101283,0.261247,0.231953,0.038326
0.0000,0.4200,0.109100,0.250490,0.245610,0.027236
0.0000,0.4350,0.117287,0.239454,0.258946,0.013685
0.0000,0.4500,0.113407,0.247275,0.255225,0.017771
0.0000,0.4650,0.101847,0.267162,0.238838,0.042848
0.0000,0.4800,0.123551,0.228475,0.264225,0.010440
0.0000,0.4950,0.123545,0.229786,0.265914,0.010877
0.0000,0.5100,0.128276,0.224936,0.275564,0.004330
0.0000,0.5250,0.125057,0.228223,0.268577,0.008373
0.0000,0.5400,0.134589,0.217968,0.286632,0.002482
0.0000,0.5550,0.130130,0.224167,0.279833,0.005800
0.0000,0.5700,0.141493,0.207441,0.293659,0.001592
0.0000,0.5850,0.149909,0.197456,0.302344,0.001814
0.0000,0.6000,0.144038,0.205485,0.294215,0.009848
0.0100,0.0000,0.006883,0.474107,0.028793,0.445314
0.0100,0.0150,0.008141,0.469940,0.032360,0.437579
0.0100,0.0300,0.015002,0.434156,0.052644,0.381512
0.0100,0.0450,0.017398,0.439480,0.062520,0.376960
0.0100,0.0600,0.018959,0.433412,0.066488,0.366924
0.0100,0.0750,0.021895,0.424973,0.073927,0.351045
0.0100,0.0900,0.024105,0.421900,0.081400,0.340501
0.0100,0.1050,0.035476,0.390948,0.108952,0.281996
0.0100,0.1200,0.033170,0.393789,0.102711,0.291078
0.0100,0.1350,0.040411,0.376647,0.119853,0.256795
0.0100,0.1500,0.037311,0.383835,0.113365,0.270471
0.0100,0.1650,0.044515,0.369846,0.130154,0.239691
0.0100,0.1800,0.043951,0.368905,0.127195,0.241709
0.0100,0.1950,0.053585,0.352459,0.149341,0.203118
0.0100,0.2100,0.058324,0.345980,0.161520,0.184459
0.0100,0.2250,0.061495,0.332568,0.164232,0.168335
0.0100,0.2400,0.067002,0.323881,0.172819,0.151412
0.0100,0.2550,0.068030,0.322006,0.177594,0.144412
0.0100,0.2700,0.073099,0.312060,0.187640,0.124924
0.0100,0.2850,0.078290,0.305448,0.199152,0.106296
0.0100,0.3000,0.081671,0.293348,0.201252,0.092095
0.0100,0.3150,0.081612,0.302857,0.207243,0.097481
0.0100,0.3300,0.088108,0.287448,0.215552,0.073776
0.0100,0.3450,0.088153,0.283181,0.212019,0.072819
0.0100,0.3600,0.090891,0.281159,0.218941,0.062782
0.0100,0.3750,0.110010,0.255720,0.251380,0.024633
0.0100,0.3900,0.100533,0.266713,0.235287,0.040849
0.0100,0.4050,0.102336,0.267797,0.239603,0.047636
0.0100,0.4200,0.113326,0.245714,0.254486,0.010097
0.0100,0.4350,0.106618,0.254327,0.243373,0.021824
0.0100,0.4500,0.114084,0.244253,0.251647,0.024962
0.0100,0.4650,0.120345,0.236252,0.262848,0.015494
0.0100,0.4800,0.120645,0.238789,0.267011,0.016992
0.0100,0.4950,0.123341,0.230740,0.267260,0.003657
0.0100,0.5100,0.135501,0.212521,0.280979,0.000832
0.0100,0.5250,0.136938,0.209889,0.284411,0.000325
0.0100,0.5400,0.129457,0.224695,0.278205,0.005683
0.0100,0.5550,0.140400,0.208069,0.292131,0.000718
0.0100,0.5700,0.147084,0.197814,0.296586,0.000000
0.0100,0.5850,0.149622,0.196808,0.303192,0.002129
0.0100,0.6000,0.153657,0.188523,0.303877,0.000000
0.0200,0.0000,0.011302,0.463368,0.043832,0.419536
0.0200,0.0150,0.015774,0.448033,0.057267,0.390766
0.0200,0.0300,0.017070,0.439801,0.061799,0.378003
0.0200,0.0450,0.021284,0.424287,0.071413,0.352874
0.0200,0.0600,0.024029,0.416469,0.080631,0.335838
0.0200,0.0750,0.025516,0.420099,0.085101,0.334999
0.0200,0.0900,0.027273,0.402626,0.086974,0.315652
0.0200,0.1050,0.037884,0.392842,0.117558,0.275283
0.0200,0.1200,0.037375,0.379463,0.111837,0.267626
0.0200,0.1350,0.046588,0.364307,0.132993,0.231314
0.0200,0.1500,0.048122,0.363669,0.137631,0.226037
0.0200,0.1650,0.053908,0.346091,0.148909,0.197183
0.0200,0.1800,0.052407,0.349843,0.145557,0.204285
0.0200,0.1950,0.052846,0.350657,0.147243,0.203415
0.0200,0.2100,0.063145,0.334804,0.169996,0.164808
0.0200,0.2250,0.061121,0.334624,0.165376,0.169248
0.0200,0.2400,0.064588,0.331450,0.172950,0.158501
0.0200,0.2550,0.069694,0.317846,0.180154,0.137692
0.0200,0.2700,0.073925,0.310643,0.188257,0.123133
0.0200,0.2850,0.085958,0.292093,0.211107,0.083380
0.0200,0.3000,0.089922,0.278703,0.213297,0.066853
0.0200,0.3150,0.094246,0.277571,0.224129,0.058338
0.0200,0.3300,0.087317,0.289225,0.214175,0.078744
0.0200,0.3450,0.098278,0.268540,0.228660,0.048369
0.0200,0.3600,0.104492,0.258412,0.239588,0.029827
0.0200,0.3750,0.108856,0.254556,0.245744,0.035710
0.0200,0.3900,0.106114,0.254966,0.242034,0.025306
0.0200,0.4050,0.105716,0.255467,0.239333,0.033811
0.0200,0.4200,0.113213,0.248156,0.253944,0.023327
0.0200,0.4350,0.122093,0.235796,0.268504,0.016266
0.0200,0.4500,0.122245,0.235925,0.267775,0.017220
0.0200,0.4650,0.132283,0.219574,0.282326,0.000000
0.0200,0.4800,0.126119,0.226365,0.268735,0.011975
0.0200,0.4950,0.128237,0.226597,0.277603,0.001197
0.0200,0.5100,0.126976,0.226097,0.271703,0.008571
0.0200,0.5250,0.139310,0.207447,0.287353,0.000991
0.0200,0.5400,0.139414,0.210030,0.290070,0.001838
0.0200,0.5550,0.153277,0.189583,0.304317,0.001149
0.0200,0.5700,0.157705,0.189512,0.317388,0.000000
0.0200,0.5850,0.154745,0.194231,0.314969,0.000000
0.0200,0.6000,0.160628,0.180752,0.313848,0.000000
0.0300,0.0000,0.013146,0.451342,0.048858,0.402483
0.0300,0.0150,0.017008,0.439903,0.060297,0.379606
0.0300,0.0300,0.026387,0.410005,0.085595,0.324411
0.0300,0.0450,0.027477,0.408987,0.089313,0.319674
0.0300,0.0600,0.029371,0.404176,0.093624,0.310553
0.0300,0.0750,0.033654,0.393261,0.104339,0.288921
0.0300,0.0900,0.034575,0.391084,0.106316,0.284769
0.0300,0.1050,0.037743,0.392267,0.115733,0.276534
0.0300,0.1200,0.055657,0.343349,0.151551,0.191798
0.0300,0.1350,0.052568,0.354234,0.147466,0.206768
0.0300,0.1500,0.055787,0.347865,0.154335,0.193529
0.0300,0.1650,0.054074,0.344279,0.148321,0.195958
0.0300,0.1800,0.062529,0.336165,0.170435,0.165731
0.0300,0.1950,0.061662,0.334236,0.165064,0.169665
0.0300,0.2100,0.068699,0.324146,0.180454,0.143692
0.0300,0.2250,0.067914,0.323433,0.178767,0.144665
0.0300,0.2400,0.071983,0.314264,0.185036,0.130051
0.0300,0.2550,0.081500,0.298805,0.204095,0.094710
0.0300,0.2700,0.078933,0.303146,0.196154,0.108516
0.0300,0.2850,0.082506,0.293950,0.203050,0.090900
0.0300,0.3000,0.079451,0.300701,0.199499,0.101203
0.0300,0.3150,0.094877,0.274836,0.224764,0.053379
0.0300,0.3300,0.097029,0.272339,0.228861,0.049657
0.0300,0.3450,0.090595,0.282257,0.217643,0.066745
0.0300,0.3600,0.103183,0.263369,0.239431,0.039599
0.0300,0.3750,0.103835,0.257582,0.235018,0.037764
0.0300,0.3900,0.105385,0.261845,0.245455,0.031049
0.0300,0.4050,0.112546,0.249576,0.256424,0.014619
0.0300,0.4200,0.117135,0.244337,0.263763,0.011572
0.0300,0.4350,0.116577,0.240236,0.256364,0.013384
